item_id,rarity,base_value,drop_rate
I0000,common,57.18,0.1415526007237115
I0001,rare,399.74,0.011470008614689605
I0002,legendary,1257.52,0.0005799195767031885
I0003,common,35.07,0.0288784187497195
I0004,common,60.52,0.12389865756152785
I0005,common,50.21,0.05806466220191864
I0006,common,55.85,0.03606032997994058
I0007,common,49.1,0.11747629941252846
I0008,common,44.0,0.0836092363129427
I0009,common,44.98,0.1469609360331225
I0010,common,23.95,0.07756871499075907
I0011,common,40.08,0.11739494393065773
I0012,rare,450.7,0.012844089769476671
I0013,common,49.91,0.057409634312620104
I0014,common,71.55,0.055112460376535194
I0015,common,57.31,0.07930807226633178
I0016,common,68.88,0.07317264959511154
I0017,common,71.42,0.0922163066522663
I0018,legendary,2514.07,0.0024315035021734983
I0019,common,43.62,0.026404924186564815
I0020,common,58.19,0.14878158321525284
I0021,common,48.71,0.05906387990468643
I0022,common,52.4,0.0209426597191087
I0023,common,38.76,0.08227169074895273
I0024,common,59.13,0.043191612922212894
I0025,common,54.73,0.13813941491877776
I0026,common,58.47,0.03848972565985669
I0027,common,52.09,0.12734531598939017
I0028,common,55.95,0.1222676024839403
I0029,common,53.51,0.02865356019633
I0030,common,38.3,0.08210950667747015
I0031,common,61.56,0.04975372709124983
I0032,common,72.42,0.06646282218638366
I0033,common,49.59,0.12570656823872944
I0034,legendary,2511.34,0.002783189718940993
I0035,rare,426.39,0.014259350661631347
I0036,common,57.15,0.05850084591208613
I0037,rare,274.85,0.012882156231457791
I0038,rare,316.16,0.009793604013752523
I0039,common,48.28,0.06403890393742986
