player_id,day,top_features,top_feature_abs_z,anomaly_score,is_suspicious
P00000,2025-01-01,s_items;max_pair_as_seller;s_price_z_mean,1.64;1.34;0.81,0.3260719408871147,0
P00000,2025-01-03,buyer_hour_entropy;b_trades;b_counterparties,1.46;1.14;1.14,0.04463481508534211,0
P00000,2025-01-04,b_price_z_mean;buyer_hour_entropy;s_items,0.64;0.55;0.47,0.016052647334492357,0
P00001,2025-01-01,max_pair_as_seller;seller_hour_entropy;s_trades,3.14;2.51;2.25,0.4785051678530107,0
P00001,2025-01-02,s_items;max_pair_as_seller;b_trades,0.47;0.45;0.41,0.0021846516230486037,0
P00001,2025-01-03,s_counterparties;s_trades;seller_hour_entropy,4.42;4.3;3.34,0.4669177457192806,0
P00001,2025-01-04,b_items;b_counterparties;buyer_hour_entropy,1.19;1.14;1.07,0.08406412381183621,0
P00002,2025-01-01,max_pair_as_buyer;b_trades;b_items,3.11;2.5;1.96,0.44376962628393074,0
P00002,2025-01-02,seller_hour_entropy;s_counterparties;s_trades,2.69;2.32;2.25,0.5101644144122021,0
P00002,2025-01-03,buyer_hour_entropy;b_trades;b_counterparties,1.46;1.14;1.14,0.08585463554186075,0
P00002,2025-01-04,s_items;max_pair_as_seller;b_trades,0.47;0.45;0.41,0.00043703855566623703,0
P00003,2025-01-01,b_price_z_mean;b_price_z_max;s_items,1.58;1.17;0.47,0.17351630306446494,0
P00003,2025-01-02,buyer_hour_entropy;b_price_z_mean;b_trades,1.46;1.39;1.14,0.18142865780222667,0
P00003,2025-01-03,buyer_hour_entropy;b_trades;b_counterparties,1.46;1.14;1.14,0.0477738112953242,0
P00003,2025-01-04,s_items;buyer_hour_entropy;b_price_z_mean,1.64;1.46;1.36,0.4183299686618682,0
P00004,2025-01-01,b_price_z_mean;b_price_z_max;s_items,0.93;0.71;0.47,0.07934453459273502,0
P00004,2025-01-02,seller_hour_entropy;s_counterparties;s_trades,2.63;1.75;1.7,0.35512720465003006,0
P00004,2025-01-03,seller_hour_entropy;s_items;max_pair_as_seller,2.06;1.64;1.34,0.37506215870772036,0
P00004,2025-01-04,b_price_z_mean;buyer_hour_entropy;s_items,1.0;0.55;0.47,0.039142445041467404,0
P00005,2025-01-02,s_items;max_pair_as_seller;b_price_z_mean,0.47;0.45;0.45,0.03336157048775011,0
P00005,2025-01-03,buyer_hour_entropy;b_trades;b_counterparties,1.46;1.14;1.14,0.0543555370361574,0
P00005,2025-01-04,buyer_hour_entropy;b_trades;b_counterparties,1.46;1.14;1.14,0.04463481508534211,0
P00006,2025-01-01,b_items;b_counterparties;buyer_hour_entropy,1.19;1.14;1.07,0.1333245923854623,0
P00006,2025-01-02,buyer_hour_entropy;b_price_z_max;s_items,0.55;0.48;0.47,0.030075236046060945,0
P00006,2025-01-03,buyer_hour_entropy;s_items;max_pair_as_seller,0.55;0.47;0.45,0.007845011649271249,0
P00006,2025-01-04,buyer_hour_entropy;b_trades;b_counterparties,1.46;1.14;1.14,0.1306583489712859,0
P00007,2025-01-01,b_items;b_counterparties;buyer_hour_entropy,1.19;1.14;1.07,0.10299910109811523,0
P00007,2025-01-02,buyer_hour_entropy;b_price_z_mean;s_items,0.55;0.54;0.47,0.013351203419192026,0
P00007,2025-01-03,s_items;max_pair_as_seller;s_price_z_mean,1.64;1.34;1.25,0.3717046452078707,0
P00007,2025-01-04,seller_hour_entropy;s_counterparties;s_trades,2.32;2.03;1.97,0.3364486951132744,0
P00008,2025-01-01,s_items;buyer_hour_entropy;max_pair_as_seller,1.64;1.46;1.34,0.41278897408766807,0
P00008,2025-01-02,b_items;b_counterparties;b_trades,2.73;2.66;2.5,0.42492984172939197,0
P00008,2025-01-03,s_items;max_pair_as_seller;s_price_z_mean,1.64;1.34;0.66,0.31407906120367696,0
P00008,2025-01-04,s_trades;s_counterparties;seller_hour_entropy,3.89;3.86;3.28,0.6139184315739517,0
P00009,2025-01-01,b_items;b_counterparties;buyer_hour_entropy,1.19;1.14;1.07,0.10638301240015599,0
P00009,2025-01-02,s_price_z_mean;s_price_z_max;s_items,2.73;2.5;1.64,0.3717505529195078,0
