player_id,day,top_features,top_feature_abs_z,anomaly_score,is_suspicious
P00000,2025-01-01,s_items;buyer_hour_entropy;max_pair_as_seller,0.5;0.5;0.48,0.005178032417459806,0
P00000,2025-01-02,max_pair_as_buyer;b_trades;buyer_hour_entropy,3.01;1.66;1.43,0.3166908759075961,0
P00000,2025-01-03,s_items;max_pair_as_seller;b_items,1.55;1.28;1.13,0.3450771459585897,0
P00000,2025-01-04,max_pair_as_seller;s_trades;s_counterparties,3.05;2.8;2.74,0.5033704132488748,0
P00001,2025-01-02,s_items;max_pair_as_seller;b_trades,0.5;0.48;0.44,0.01983300583186807,0
P00001,2025-01-03,b_items;b_counterparties;buyer_hour_entropy,1.13;1.07;1.03,0.05543057765708911,0
P00001,2025-01-04,s_items;buyer_hour_entropy;max_pair_as_seller,0.5;0.5;0.48,0.004914843468636699,0
P00002,2025-01-01,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.1528891665093804,0
P00002,2025-01-02,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.06151740081037724,0
P00002,2025-01-03,s_items;max_pair_as_seller;b_trades,0.5;0.48;0.44,0.0036610835166966515,0
P00002,2025-01-04,s_items;seller_hour_entropy;s_counterparties,3.6;2.53;2.04,0.5265704172097839,0
P00003,2025-01-01,max_pair_as_seller;b_counterparties;b_trades,3.05;2.55;2.36,0.5553106815878206,0
P00003,2025-01-02,s_items;max_pair_as_seller;b_price_z_mean,1.55;1.28;0.58,0.20295880951599962,0
P00003,2025-01-03,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.06151740081037724,0
P00003,2025-01-04,seller_hour_entropy;s_items;max_pair_as_seller,2.04;1.55;1.28,0.3892153786632881,0
P00004,2025-01-01,max_pair_as_seller;seller_hour_entropy;s_trades,3.05;2.75;2.25,0.429681567152108,0
P00004,2025-01-02,s_items;buyer_hour_entropy;max_pair_as_seller,1.55;1.5;1.28,0.38068035612960505,0
P00004,2025-01-03,b_price_z_max;s_items;max_pair_as_seller,0.53;0.5;0.48,0.004429820833384478,0
P00005,2025-01-01,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.06151740081037724,0
P00005,2025-01-03,b_price_z_mean;b_price_z_max;s_items,1.67;0.84;0.5,0.1251196549475499,0
P00005,2025-01-04,b_items;b_counterparties;b_trades,1.89;1.81;1.66,0.16232712908027785,0
P00006,2025-01-01,s_items;max_pair_as_seller;b_trades,0.5;0.48;0.44,0.015002115417966753,0
P00006,2025-01-02,b_counterparties;b_trades;buyer_hour_entropy,1.81;1.66;1.43,0.15295163679580637,0
P00006,2025-01-03,b_items;b_counterparties;b_trades,4.17;4.04;3.76,0.6344204987522577,0
P00006,2025-01-04,b_price_z_mean;b_price_z_max;s_items,1.51;1.42;0.5,0.1369425077371124,0
P00007,2025-01-01,b_items;b_counterparties;buyer_hour_entropy,1.13;1.07;1.03,0.05253458974108214,0
P00007,2025-01-02,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.16270163372233212,0
P00007,2025-01-03,b_items;b_counterparties;b_trades,1.89;1.81;1.66,0.272116709150029,0
P00007,2025-01-04,s_items;s_counterparties;s_trades,3.6;2.6;2.52,0.6253229780803703,0
P00008,2025-01-01,b_price_z_mean;buyer_hour_entropy;b_price_z_max,2.35;1.5;1.17,0.3044861121730845,0
P00008,2025-01-02,s_items;buyer_hour_entropy;b_price_z_max,0.5;0.5;0.49,0.009217103742014393,0
P00008,2025-01-03,b_price_z_max;b_items;b_counterparties,1.25;1.13;1.07,0.12490353002969054,0
P00008,2025-01-04,b_price_z_mean;b_price_z_max;buyer_hour_entropy,1.82;1.68;1.5,0.23514176318114266,0
P00009,2025-01-01,s_items;max_pair_as_seller;b_price_z_max,0.5;0.48;0.46,0.0038017956203608675,0
P00009,2025-01-02,s_items;max_pair_as_seller;b_price_z_mean,0.5;0.48;0.46,0.006247656011712435,0
P00009,2025-01-03,b_price_z_mean;b_price_z_max;s_items,1.22;0.89;0.5,0.0647369554167478,0
P00009,2025-01-04,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.08405069845505395,0
P00010,2025-01-01,b_price_z_mean;s_items;buyer_hour_entropy,0.72;0.5;0.5,0.015466552945293357,0
P00010,2025-01-02,b_items;b_counterparties;buyer_hour_entropy,1.13;1.07;1.03,0.061001636494180715,0
P00010,2025-01-03,max_pair_as_buyer;b_price_z_mean;b_price_z_max,3.01;0.86;0.66,0.28149557597483105,0
P00010,2025-01-04,b_price_z_max;s_items;max_pair_as_seller,0.55;0.5;0.48,0.026093909332761143,0
P00011,2025-01-01,b_items;b_counterparties;buyer_hour_entropy,1.13;1.07;1.03,0.05145922367450728,0
P00011,2025-01-02,s_items;buyer_hour_entropy;max_pair_as_seller,0.5;0.5;0.48,0.0038239442678242464,0
P00011,2025-01-04,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.08935702023448289,0
P00012,2025-01-01,s_items;max_pair_as_seller;b_trades,0.5;0.48;0.44,0.015325283299900993,0
P00012,2025-01-02,b_price_z_max;b_price_z_mean;s_items,1.05;1.04;0.5,0.0683756131939839,0
P00012,2025-01-03,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.1357329050655186,0
P00012,2025-01-04,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.08405069845505395,0
P00013,2025-01-01,b_items;s_items;max_pair_as_seller,1.16;0.5;0.48,0.07818766004692927,0
P00013,2025-01-02,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.09524998771486502,0
P00013,2025-01-03,max_pair_as_buyer;buyer_hour_entropy;b_trades,3.01;1.03;0.96,0.24102090669937506,0
P00013,2025-01-04,b_items;b_counterparties;buyer_hour_entropy,1.13;1.07;1.03,0.05182107220624596,0
P00014,2025-01-01,s_items;buyer_hour_entropy;max_pair_as_seller,0.5;0.5;0.48,0.002725921588863672,0
P00014,2025-01-03,b_counterparties;b_trades;b_price_z_mean,1.81;1.66;1.47,0.24238755993081762,0
P00014,2025-01-04,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.07971903911395704,0
P00015,2025-01-01,b_trades;b_counterparties;b_items,5.87;4.78;3.41,0.7829723914626985,1
P00015,2025-01-02,b_price_z_mean;buyer_hour_entropy;b_counterparties,1.9;1.5;1.16,0.24084176957244227,0
P00015,2025-01-03,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.06151740081037724,0
P00015,2025-01-04,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.07425820384477526,0
P00016,2025-01-01,b_price_z_mean;s_items;max_pair_as_seller,4.02;0.5;0.48,0.15589649794083812,0
P00016,2025-01-02,seller_hour_entropy;s_items;buyer_hour_entropy,1.62;1.55;1.5,0.3247700826838277,0
P00016,2025-01-03,seller_hour_entropy;s_items;max_pair_as_seller,2.27;1.55;1.28,0.33594805734668226,0
P00016,2025-01-04,max_pair_as_buyer;b_items;b_counterparties,3.33;1.92;1.9,0.6014802700486838,0
P00017,2025-01-01,b_counterparties;b_trades;buyer_hour_entropy,1.81;1.66;1.43,0.1818688350181044,0
P00017,2025-01-02,b_price_z_max;b_price_z_mean;s_items,0.65;0.52;0.5,0.013735301013203348,0
P00017,2025-01-03,b_price_z_mean;b_price_z_max;s_items,0.62;0.51;0.5,0.037123130842942366,0
P00018,2025-01-01,s_items;buyer_hour_entropy;max_pair_as_seller,0.5;0.5;0.48,0.0025375042410491866,0
P00018,2025-01-02,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.07611117219248056,0
P00018,2025-01-03,s_items;max_pair_as_seller;b_trades,0.5;0.48;0.44,0.012058954580906858,0
P00019,2025-01-01,b_price_z_mean;s_items;buyer_hour_entropy,0.56;0.5;0.5,0.007419988240130212,0
P00019,2025-01-02,buyer_hour_entropy;b_counterparties;b_items,1.5;1.16;1.16,0.08318389083189953,0
P00019,2025-01-03,b_price_z_max;s_items;max_pair_as_seller,0.53;0.5;0.48,0.004822626317705213,0
P00019,2025-01-04,s_items;buyer_hour_entropy;max_pair_as_seller,0.5;0.5;0.48,0.012688843868971955,0
