player_id,day,top_features,top_feature_abs_z,anomaly_score,is_suspicious
P00000,2025-01-02,b_price_z_mean;s_items;b_price_z_max,0.58;0.49;0.49,0.015521511993928361,0
P00000,2025-01-04,b_price_z_mean;b_price_z_max;buyer_hour_entropy,1.4;1.02;0.53,0.13314945472126402,0
P00001,2025-01-01,b_price_z_mean;s_items;max_pair_as_seller,0.7;0.49;0.47,0.04114642466592669,0
P00001,2025-01-02,buyer_hour_entropy;s_items;max_pair_as_seller,0.53;0.49;0.47,0.011830152309493955,0
P00001,2025-01-03,buyer_hour_entropy;s_items;max_pair_as_seller,0.53;0.49;0.47,0.014154557879226766,0
P00001,2025-01-04,b_counterparties;b_trades;buyer_hour_entropy,1.86;1.71;1.46,0.1923327322280056,0
P00002,2025-01-01,s_items;buyer_hour_entropy;s_price_z_mean,1.57;1.47;1.38,0.39639152484903967,0
P00002,2025-01-03,s_items;max_pair_as_seller;b_trades,0.49;0.47;0.42,0.000988938594094336,0
P00002,2025-01-04,max_pair_as_buyer;buyer_hour_entropy;b_trades,2.99;1.05;1.0,0.23124213444308378,0
P00003,2025-01-01,s_items;seller_hour_entropy;max_pair_as_seller,1.57;1.4;1.29,0.32388015308768814,0
P00003,2025-01-02,seller_hour_entropy;s_counterparties;s_trades,2.68;2.37;2.3,0.37418201443881305,0
P00003,2025-01-03,buyer_hour_entropy;s_items;max_pair_as_seller,0.53;0.49;0.47,0.013568957654709017,0
P00003,2025-01-04,buyer_hour_entropy;b_counterparties;b_items,1.47;1.14;1.14,0.12446871048672467,0
P00004,2025-01-01,b_price_z_mean;b_price_z_max;buyer_hour_entropy,3.03;1.58;1.47,0.3857336840042899,0
P00004,2025-01-02,s_items;max_pair_as_seller;b_trades,0.49;0.47;0.42,0.003288282379850051,0
P00004,2025-01-03,s_items;max_pair_as_seller;seller_hour_entropy,1.57;1.29;0.96,0.21946532026572965,0
P00004,2025-01-04,buyer_hour_entropy;b_counterparties;b_items,1.47;1.14;1.14,0.1318025834754599,0
P00005,2025-01-01,b_items;b_counterparties;b_trades,1.92;1.86;1.71,0.17399488415992698,0
P00005,2025-01-02,seller_hour_entropy;s_counterparties;s_trades,2.25;1.65;1.6,0.36007515403244056,0
P00005,2025-01-03,s_trades;s_counterparties;seller_hour_entropy,5.24;4.95;3.68,0.6289102518898028,0
P00005,2025-01-04,seller_hour_entropy;s_items;s_counterparties,2.67;1.57;1.51,0.46795973295332105,0
P00006,2025-01-01,s_price_z_mean;b_price_z_mean;s_price_z_max,2.07;2.07;1.93,0.5742051652616819,0
P00006,2025-01-02,b_price_z_mean;b_price_z_max;s_items,1.44;1.15;0.49,0.12380672954088072,0
P00006,2025-01-03,b_price_z_mean;buyer_hour_entropy;s_items,0.6;0.53;0.49,0.014742030020693924,0
P00007,2025-01-01,max_pair_as_seller;s_trades;seller_hour_entropy,3.05;2.58;2.52,0.4573136797583717,0
P00007,2025-01-02,b_items;b_counterparties;b_trades,1.92;1.86;1.71,0.18165701313542182,0
P00007,2025-01-03,buyer_hour_entropy;s_items;max_pair_as_seller,0.53;0.49;0.47,0.0064787851114668634,0
P00007,2025-01-04,buyer_hour_entropy;b_counterparties;b_items,1.47;1.14;1.14,0.07226675260257016,0
P00008,2025-01-01,buyer_hour_entropy;b_counterparties;b_items,1.47;1.14;1.14,0.14541597736513,0
P00008,2025-01-02,b_items;b_counterparties;b_trades,1.92;1.86;1.71,0.1888359115212132,0
P00008,2025-01-03,s_items;max_pair_as_seller;b_trades,0.49;0.47;0.42,0.0013285686375763012,0
P00008,2025-01-04,b_items;b_counterparties;buyer_hour_entropy,1.16;1.11;1.05,0.05195463687138937,0
P00009,2025-01-01,s_items;max_pair_as_seller;b_trades,0.49;0.47;0.42,0.002057623214507181,0
P00009,2025-01-02,b_items;b_counterparties;buyer_hour_entropy,1.16;1.11;1.05,0.06311614790219866,0
P00009,2025-01-04,b_price_z_mean;s_items;max_pair_as_seller,0.72;0.49;0.47,0.018884766962518357,0
P00010,2025-01-01,s_counterparties;s_trades;seller_hour_entropy,5.1;4.96;3.78,0.5408206637840277,0
P00010,2025-01-02,max_pair_as_seller;seller_hour_entropy;s_trades,3.05;2.67;1.88,0.47120207609272663,0
P00010,2025-01-03,b_price_z_mean;s_items;max_pair_as_seller,0.85;0.49;0.47,0.05203686907677132,0
P00010,2025-01-04,s_items;max_pair_as_seller;b_trades,0.49;0.47;0.42,0.003537649680319931,0
P00011,2025-01-01,s_items;max_pair_as_seller;b_trades,0.49;0.47;0.42,0.0005847389559151947,0
P00011,2025-01-02,b_price_z_max;b_price_z_mean;s_items,1.01;0.98;0.49,0.07771922306907335,0
P00011,2025-01-03,buyer_hour_entropy;s_items;max_pair_as_seller,0.53;0.49;0.47,0.010344982637978737,0
P00011,2025-01-04,buyer_hour_entropy;s_items;max_pair_as_seller,0.53;0.49;0.47,0.004957148036187256,0
P00012,2025-01-01,s_items;max_pair_as_seller;b_trades,0.49;0.47;0.42,0.005596312975848196,0
P00012,2025-01-03,s_items;max_pair_as_seller;b_trades,0.49;0.47;0.42,0.000298197644942678,0
P00012,2025-01-04,b_price_z_mean;s_items;max_pair_as_seller,0.52;0.49;0.47,0.007383383131673529,0
P00013,2025-01-01,buyer_hour_entropy;b_price_z_mean;b_counterparties,1.47;1.2;1.14,0.17021444932746016,0
P00013,2025-01-02,buyer_hour_entropy;s_items;max_pair_as_seller,0.53;0.49;0.47,0.008766589133962718,0
P00013,2025-01-03,buyer_hour_entropy;b_counterparties;b_items,1.47;1.14;1.14,0.13245392935861475,0
P00013,2025-01-04,s_items;max_pair_as_seller;b_trades,0.49;0.47;0.42,0.009627858968456639,0
P00014,2025-01-02,max_pair_as_buyer;b_items;b_counterparties,3.3;1.91;1.9,0.5600832694343865,0
P00014,2025-01-03,b_price_z_mean;b_price_z_max;buyer_hour_entropy,0.81;0.7;0.53,0.05846820761986659,0
P00014,2025-01-04,b_price_z_mean;s_items;max_pair_as_seller,1.03;0.49;0.47,0.032286767356506714,0
P00015,2025-01-01,s_items;seller_hour_entropy;max_pair_as_seller,1.57;1.34;1.29,0.34334347529109277,0
P00015,2025-01-02,max_pair_as_seller;seller_hour_entropy;s_trades,3.05;2.24;1.74,0.49827776134514745,0
P00015,2025-01-03,b_price_z_mean;s_items;max_pair_as_seller,0.54;0.49;0.47,0.022495081838531612,0
P00015,2025-01-04,b_price_z_mean;buyer_hour_entropy;s_items,0.68;0.53;0.49,0.020473458612171258,0
P00016,2025-01-02,s_items;buyer_hour_entropy;s_price_z_mean,1.57;1.47;1.39,0.38721111822291837,0
P00016,2025-01-03,seller_hour_entropy;s_counterparties;s_trades,3.37;2.66;2.58,0.570223178523004,0
P00016,2025-01-04,s_items;buyer_hour_entropy;s_price_z_mean,1.57;1.47;1.39,0.4473193482346433,0
P00017,2025-01-01,b_items;b_counterparties;buyer_hour_entropy,1.16;1.11;1.05,0.060461922312219286,0
P00017,2025-01-02,s_items;max_pair_as_seller;b_trades,0.49;0.47;0.42,0.003288282379850051,0
P00017,2025-01-03,s_items;max_pair_as_seller;b_trades,0.49;0.47;0.42,0.0022177923196630713,0
P00017,2025-01-04,buyer_hour_entropy;b_counterparties;b_items,1.47;1.14;1.14,0.07226675260257016,0
P00018,2025-01-01,b_price_z_mean;buyer_hour_entropy;s_items,0.79;0.53;0.49,0.046291972655088456,0
