item_id,rarity,base_value,drop_rate
I0000,common,61.27,0.03931792524789851
I0001,common,78.02,0.12244989726997206
I0002,common,61.81,0.12359353686497067
I0003,common,52.46,0.1059335229642462
I0004,common,52.08,0.10941041294204827
I0005,common,46.41,0.05486373038016312
I0006,common,46.43,0.08272405618723136
I0007,common,47.54,0.09730826398757836
I0008,common,53.7,0.14666850795434772
I0009,common,49.96,0.08378880687630111
I0010,common,32.78,0.0970606158248299
I0011,common,32.64,0.046906887413528366
I0012,common,58.2,0.08134219667695258
I0013,common,34.95,0.04133516137289988
I0014,common,52.62,0.04412006586862704
I0015,common,55.97,0.05829878106763756
I0016,common,44.63,0.06655460850087587
I0017,common,55.24,0.05488961837959088
I0018,common,49.18,0.022487044824903477
I0019,common,49.16,0.10313094693827994
I0020,common,38.01,0.050100383509350886
I0021,common,45.3,0.03901043102163569
I0022,legendary,2738.91,0.0009340754680262576
I0023,common,38.63,0.09770220226907227
I0024,common,47.96,0.14398904383106018
I0025,common,43.82,0.1338939846859589
I0026,rare,204.46,0.008875712888582047
I0027,rare,382.71,0.006181519660969061
I0028,common,76.81,0.04084015445341225
I0029,common,46.99,0.07663015003289561
I0030,common,50.66,0.11113300896786875
I0031,common,43.97,0.10038733160352943
I0032,rare,351.03,0.013275842219946156
I0033,common,40.27,0.1389029644507028
I0034,common,35.02,0.07596030174387498
I0035,common,58.16,0.12674943030867128
I0036,common,47.96,0.03078983743491809
I0037,common,52.6,0.12139991522406055
I0038,common,49.2,0.08127750093976464
I0039,common,52.61,0.03983903675694621
