listing_id,ts,seller_id,region,item_id,qty,list_price,expires_at
L0000001,2025-01-01 00:00:00,P00006,NA,I0016,3,48.67,2025-01-02 02:00:00
L0000030,2025-01-01 00:00:00,P00307,NA,I0022,1,25.03,2025-01-02 10:00:00
L0000031,2025-01-01 00:00:00,P00315,EU,I0032,1,47.52,2025-01-01 13:00:00
L0000032,2025-01-01 00:00:00,P00332,ASIA,I0032,2,50.51,2025-01-02 07:00:00
L0000033,2025-01-01 00:00:00,P00346,EU,I0019,2,40.24,2025-01-02 06:00:00
L0000034,2025-01-01 00:00:00,P00374,EU,I0024,2,348.49,2025-01-01 16:00:00
L0000035,2025-01-01 00:00:00,P00379,NA,I0037,3,403.36,2025-01-01 18:00:00
L0000036,2025-01-01 00:00:00,P00383,ASIA,I0027,1,30.19,2025-01-01 23:00:00
L0000037,2025-01-01 00:00:00,P00411,EU,I0016,2,39.26,2025-01-02 03:00:00
L0000038,2025-01-01 00:00:00,P00425,EU,I0032,1,54.46,2025-01-01 13:00:00
L0000040,2025-01-01 00:00:00,P00432,EU,I0016,2,48.4,2025-01-01 15:00:00
L0000041,2025-01-01 00:00:00,P00436,EU,I0026,2,34.77,2025-01-02 00:00:00
L0000042,2025-01-01 00:00:00,P00456,ASIA,I0017,2,55.82,2025-01-01 12:00:00
L0000043,2025-01-01 00:00:00,P00474,ASIA,I0008,2,51.79,2025-01-01 15:00:00
L0000044,2025-01-01 00:00:00,P00479,NA,I0034,1,49.24,2025-01-01 21:00:00
L0000045,2025-01-01 00:00:00,P00488,EU,I0001,1,62.41,2025-01-02 03:00:00
L0000046,2025-01-01 00:00:00,P00497,NA,I0021,2,535.52,2025-01-01 16:00:00
L0000048,2025-01-01 00:00:00,P00532,EU,I0028,1,45.08,2025-01-02 03:00:00
L0000049,2025-01-01 00:00:00,P00539,ASIA,I0012,2,59.97,2025-01-01 17:00:00
L0000050,2025-01-01 00:00:00,P00573,NA,I0011,2,376.39,2025-01-02 01:00:00
L0000051,2025-01-01 00:00:00,P00583,NA,I0017,1,36.61,2025-01-01 22:00:00
L0000052,2025-01-01 00:00:00,P00595,NA,I0039,2,29.14,2025-01-01 19:00:00
L0000023,2025-01-01 00:00:00,P00226,EU,I0035,1,61.02,2025-01-02 03:00:00
L0000014,2025-01-01 00:00:00,P00145,EU,I0031,2,345.93,2025-01-01 19:00:00
L0000029,2025-01-01 00:00:00,P00300,NA,I0010,1,297.88,2025-01-01 14:00:00
L0000028,2025-01-01 00:00:00,P00265,ASIA,I0016,1,53.54,2025-01-02 07:00:00
L0000047,2025-01-01 00:00:00,P00524,EU,I0038,1,68.73,2025-01-01 16:00:00
L0000039,2025-01-01 00:00:00,P00430,EU,I0025,3,67.19,2025-01-02 10:00:00
L0000026,2025-01-01 00:00:00,P00261,EU,I0016,1,40.91,2025-01-01 21:00:00
L0000002,2025-01-01 00:00:00,P00020,NA,I0029,2,65.29,2025-01-01 14:00:00
L0000003,2025-01-01 00:00:00,P00058,NA,I0029,1,69.37,2025-01-01 14:00:00
L0000004,2025-01-01 00:00:00,P00067,ASIA,I0010,1,426.31,2025-01-02 09:00:00
L0000005,2025-01-01 00:00:00,P00069,EU,I0012,2,45.15,2025-01-02 06:00:00
L0000006,2025-01-01 00:00:00,P00074,NA,I0003,1,3043.75,2025-01-02 02:00:00
L0000007,2025-01-01 00:00:00,P00091,NA,I0039,2,21.88,2025-01-01 18:00:00
L0000027,2025-01-01 00:00:00,P00263,NA,I0013,3,389.05,2025-01-02 03:00:00
L0000009,2025-01-01 00:00:00,P00098,NA,I0001,2,80.32,2025-01-02 09:00:00
L0000010,2025-01-01 00:00:00,P00107,NA,I0024,1,290.78,2025-01-01 12:00:00
L0000025,2025-01-01 00:00:00,P00255,ASIA,I0025,1,68.46,2025-01-02 10:00:00
L0000011,2025-01-01 00:00:00,P00124,ASIA,I0015,1,324.93,2025-01-02 05:00:00
L0000008,2025-01-01 00:00:00,P00097,ASIA,I0020,1,45.34,2025-01-01 18:00:00
L0000013,2025-01-01 00:00:00,P00143,EU,I0010,2,283.04,2025-01-01 16:00:00
L0000022,2025-01-01 00:00:00,P00184,ASIA,I0034,1,53.29,2025-01-02 02:00:00
L0000021,2025-01-01 00:00:00,P00183,NA,I0001,1,50.99,2025-01-01 22:00:00
L0000012,2025-01-01 00:00:00,P00128,NA,I0012,3,41.87,2025-01-01 14:00:00
L0000019,2025-01-01 00:00:00,P00175,ASIA,I0027,1,26.72,2025-01-01 20:00:00
L0000020,2025-01-01 00:00:00,P00182,NA,I0039,2,19.59,2025-01-01 23:00:00
L0000017,2025-01-01 00:00:00,P00156,EU,I0027,1,34.79,2025-01-02 08:00:00
L0000016,2025-01-01 00:00:00,P00154,NA,I0038,2,71.87,2025-01-01 18:00:00
L0000015,2025-01-01 00:00:00,P00151,EU,I0004,1,283.96,2025-01-01 20:00:00
L0000024,2025-01-01 00:00:00,P00254,NA,I0017,2,39.76,2025-01-02 00:00:00
L0000018,2025-01-01 00:00:00,P00160,EU,I0038,1,64.35,2025-01-02 03:00:00
L0004530,2025-01-01 00:35:00,P00411,,I0031,1,670.08,2025-01-01 06:35:00
L0004546,2025-01-01 00:36:00,P00462,,I0029,1,114.8,2025-01-01 06:36:00
L0004570,2025-01-01 00:42:00,P00493,,I0024,1,737.02,2025-01-01 06:42:00
L0004545,2025-01-01 00:43:00,P00054,,I0029,1,114.8,2025-01-01 06:43:00
L0004562,2025-01-01 00:49:00,P00452,,I0032,1,88.48,2025-01-01 06:49:00
L0004571,2025-01-01 00:53:00,P00376,,I0024,1,737.02,2025-01-01 06:53:00
L0004573,2025-01-01 00:54:00,P00493,,I0024,1,737.02,2025-01-01 06:54:00
L0004540,2025-01-01 00:56:00,P00007,,I0011,1,692.41,2025-01-01 06:56:00
L0004561,2025-01-01 00:56:00,P00458,,I0032,1,88.48,2025-01-01 06:56:00
L0004533,2025-01-01 00:56:00,P00411,,I0031,1,670.08,2025-01-01 06:56:00
L0004555,2025-01-01 00:59:00,P00019,,I0016,1,83.95,2025-01-01 06:59:00
L0000099,2025-01-01 01:00:00,P00514,EU,I0039,2,25.84,2025-01-02 03:00:00
L0000095,2025-01-01 01:00:00,P00440,EU,I0012,2,59.24,2025-01-02 09:00:00
L0000097,2025-01-01 01:00:00,P00451,NA,I0002,1,349.13,2025-01-01 13:00:00
L0000096,2025-01-01 01:00:00,P00444,ASIA,I0020,1,64.56,2025-01-02 04:00:00
L0000056,2025-01-01 01:00:00,P00100,ASIA,I0025,1,62.95,2025-01-02 10:00:00
L0000104,2025-01-01 01:00:00,P00590,NA,I0021,2,473.98,2025-01-01 21:00:00
L0000054,2025-01-01 01:00:00,P00049,EU,I0036,2,32.94,2025-01-01 14:00:00
L0000092,2025-01-01 01:00:00,P00410,NA,I0017,1,39.94,2025-01-02 07:00:00
L0000085,2025-01-01 01:00:00,P00371,NA,I0001,1,44.83,2025-01-02 09:00:00
L0000091,2025-01-01 01:00:00,P00409,NA,I0034,3,56.49,2025-01-01 18:00:00
L0000094,2025-01-01 01:00:00,P00422,EU,I0005,2,400.47,2025-01-02 05:00:00
L0000053,2025-01-01 01:00:00,P00041,NA,I0033,1,358.4,2025-01-01 20:00:00
L0000077,2025-01-01 01:00:00,P00311,EU,I0012,1,55.89,2025-01-01 13:00:00
L0000082,2025-01-01 01:00:00,P00360,EU,I0034,1,46.07,2025-01-02 06:00:00
L0000065,2025-01-01 01:00:00,P00180,NA,I0030,1,56.07,2025-01-02 02:00:00
L0000098,2025-01-01 01:00:00,P00482,ASIA,I0001,1,55.97,2025-01-01 14:00:00
L0000079,2025-01-01 01:00:00,P00325,NA,I0000,2,64.04,2025-01-02 11:00:00
L0000083,2025-01-01 01:00:00,P00362,NA,I0006,3,56.97,2025-01-02 04:00:00
L0000080,2025-01-01 01:00:00,P00354,NA,I0019,1,44.6,2025-01-02 05:00:00
L0000103,2025-01-01 01:00:00,P00586,NA,I0038,2,49.88,2025-01-01 18:00:00
L0000102,2025-01-01 01:00:00,P00577,NA,I0016,2,42.87,2025-01-02 02:00:00
L0000101,2025-01-01 01:00:00,P00576,EU,I0008,1,63.54,2025-01-02 12:00:00
L0000100,2025-01-01 01:00:00,P00544,EU,I0006,1,46.44,2025-01-01 18:00:00
L0000093,2025-01-01 01:00:00,P00413,EU,I0036,1,36.03,2025-01-01 13:00:00
L0000078,2025-01-01 01:00:00,P00319,EU,I0001,3,60.43,2025-01-01 18:00:00
L0000084,2025-01-01 01:00:00,P00369,EU,I0034,2,41.58,2025-01-01 20:00:00
L0000062,2025-01-01 01:00:00,P00165,NA,I0026,1,33.51,2025-01-02 01:00:00
L0000086,2025-01-01 01:00:00,P00381,EU,I0039,2,28.59,2025-01-01 16:00:00
L0000059,2025-01-01 01:00:00,P00121,NA,I0034,2,48.29,2025-01-02 06:00:00
L0000064,2025-01-01 01:00:00,P00174,ASIA,I0029,1,61.59,2025-01-02 06:00:00
L0000063,2025-01-01 01:00:00,P00168,NA,I0008,1,63.81,2025-01-02 05:00:00
L0000089,2025-01-01 01:00:00,P00390,EU,I0005,1,530.35,2025-01-01 20:00:00
L0000061,2025-01-01 01:00:00,P00154,NA,I0027,1,37.85,2025-01-02 02:00:00
L0000060,2025-01-01 01:00:00,P00150,EU,I0019,1,48.47,2025-01-02 01:00:00
L0000075,2025-01-01 01:00:00,P00303,ASIA,I0021,1,410.69,2025-01-01 23:00:00
L0000074,2025-01-01 01:00:00,P00298,EU,I0002,2,337.66,2025-01-01 17:00:00
L0000069,2025-01-01 01:00:00,P00245,ASIA,I0029,1,67.88,2025-01-02 03:00:00
L0000072,2025-01-01 01:00:00,P00269,EU,I0030,1,58.15,2025-01-01 16:00:00
L0000066,2025-01-01 01:00:00,P00226,EU,I0035,1,62.36,2025-01-01 21:00:00
L0000071,2025-01-01 01:00:00,P00251,EU,I0022,4,35.02,2025-01-01 13:00:00
L0000090,2025-01-01 01:00:00,P00398,EU,I0010,1,308.32,2025-01-01 13:00:00
L0000068,2025-01-01 01:00:00,P00237,EU,I0027,1,33.99,2025-01-01 19:00:00
L0000067,2025-01-01 01:00:00,P00231,NA,I0018,2,45.55,2025-01-02 03:00:00
L0000070,2025-01-01 01:00:00,P00246,EU,I0029,2,60.28,2025-01-01 19:00:00
L0004538,2025-01-01 01:00:00,P00578,,I0011,1,692.41,2025-01-01 07:00:00
L0000073,2025-01-01 01:00:00,P00276,NA,I0006,1,45.6,2025-01-02 09:00:00
L0000057,2025-01-01 01:00:00,P00113,ASIA,I0017,2,37.37,2025-01-02 06:00:00
L0000058,2025-01-01 01:00:00,P00120,EU,I0032,1,53.57,2025-01-02 05:00:00
L0000055,2025-01-01 01:00:00,P00094,EU,I0029,1,51.72,2025-01-02 03:00:00
L0000088,2025-01-01 01:00:00,P00384,NA,I0036,2,33.65,2025-01-02 03:00:00
L0000087,2025-01-01 01:00:00,P00382,NA,I0001,1,52.4,2025-01-02 00:00:00
L0000076,2025-01-01 01:00:00,P00307,NA,I0026,2,36.64,2025-01-01 14:00:00
L0000081,2025-01-01 01:00:00,P00356,ASIA,I0028,2,42.65,2025-01-02 11:00:00
L0004556,2025-01-01 01:02:00,P00571,,I0016,1,83.95,2025-01-01 07:02:00
L0004539,2025-01-01 01:02:00,P00532,,I0011,1,692.41,2025-01-01 07:02:00
L0004569,2025-01-01 01:03:00,P00254,,I0024,1,737.02,2025-01-01 07:03:00
L0004549,2025-01-01 01:04:00,P00462,,I0029,1,114.8,2025-01-01 07:04:00
L0004529,2025-01-01 01:09:00,P00233,,I0031,1,670.08,2025-01-01 07:09:00
L0004553,2025-01-01 01:10:00,P00571,,I0016,1,83.95,2025-01-01 07:10:00
L0004574,2025-01-01 01:12:00,P00376,,I0024,1,737.02,2025-01-01 07:12:00
L0004575,2025-01-01 01:13:00,P00254,,I0024,1,737.02,2025-01-01 07:13:00
L0004531,2025-01-01 01:15:00,P00395,,I0031,1,670.08,2025-01-01 07:15:00
L0004564,2025-01-01 01:16:00,P00458,,I0032,1,88.48,2025-01-01 07:16:00
L0004537,2025-01-01 01:16:00,P00007,,I0011,1,692.41,2025-01-01 07:16:00
L0004550,2025-01-01 01:17:00,P00001,,I0029,1,114.8,2025-01-01 07:17:00
L0004552,2025-01-01 01:19:00,P00462,,I0029,1,114.8,2025-01-01 07:19:00
L0004559,2025-01-01 01:23:00,P00571,,I0016,1,83.95,2025-01-01 07:23:00
L0004543,2025-01-01 01:25:00,P00007,,I0011,1,692.41,2025-01-01 07:25:00
L0004557,2025-01-01 01:25:00,P00531,,I0016,1,83.95,2025-01-01 07:25:00
L0004558,2025-01-01 01:26:00,P00019,,I0016,1,83.95,2025-01-01 07:26:00
L0004548,2025-01-01 01:31:00,P00054,,I0029,1,114.8,2025-01-01 07:31:00
L0004563,2025-01-01 01:31:00,P00169,,I0032,1,88.48,2025-01-01 07:31:00
L0004566,2025-01-01 01:32:00,P00169,,I0032,1,88.48,2025-01-01 07:32:00
L0004554,2025-01-01 01:34:00,P00531,,I0016,1,83.95,2025-01-01 07:34:00
