entity_type,entity_id,fraud_type,is_fraud
trade,T0005951,wash_trading,1
listing,L0004529,wash_trading,1
trade,T0005952,wash_trading,1
listing,L0004530,wash_trading,1
trade,T0005953,wash_trading,1
listing,L0004531,wash_trading,1
trade,T0005954,wash_trading,1
listing,L0004532,wash_trading,1
trade,T0005955,wash_trading,1
listing,L0004533,wash_trading,1
trade,T0005956,wash_trading,1
listing,L0004534,wash_trading,1
trade,T0005957,wash_trading,1
listing,L0004535,wash_trading,1
trade,T0005958,wash_trading,1
listing,L0004536,wash_trading,1
trade,T0005959,wash_trading,1
listing,L0004537,wash_trading,1
trade,T0005960,wash_trading,1
listing,L0004538,wash_trading,1
trade,T0005961,wash_trading,1
listing,L0004539,wash_trading,1
trade,T0005962,wash_trading,1
listing,L0004540,wash_trading,1
trade,T0005963,wash_trading,1
listing,L0004541,wash_trading,1
trade,T0005964,wash_trading,1
listing,L0004542,wash_trading,1
trade,T0005965,wash_trading,1
listing,L0004543,wash_trading,1
trade,T0005966,wash_trading,1
listing,L0004544,wash_trading,1
trade,T0005967,wash_trading,1
listing,L0004545,wash_trading,1
trade,T0005968,wash_trading,1
listing,L0004546,wash_trading,1
trade,T0005969,wash_trading,1
listing,L0004547,wash_trading,1
trade,T0005970,wash_trading,1
listing,L0004548,wash_trading,1
trade,T0005971,wash_trading,1
listing,L0004549,wash_trading,1
trade,T0005972,wash_trading,1
listing,L0004550,wash_trading,1
trade,T0005973,wash_trading,1
listing,L0004551,wash_trading,1
trade,T0005974,wash_trading,1
listing,L0004552,wash_trading,1
trade,T0005975,wash_trading,1
listing,L0004553,wash_trading,1
trade,T0005976,wash_trading,1
listing,L0004554,wash_trading,1
trade,T0005977,wash_trading,1
listing,L0004555,wash_trading,1
trade,T0005978,wash_trading,1
listing,L0004556,wash_trading,1
trade,T0005979,wash_trading,1
listing,L0004557,wash_trading,1
trade,T0005980,wash_trading,1
listing,L0004558,wash_trading,1
trade,T0005981,wash_trading,1
listing,L0004559,wash_trading,1
