item_id,rarity,base_value,drop_rate
I0000,common,59.26,0.10314015605568963
I0001,common,61.82,0.12915948137702885
I0002,rare,383.63,0.015921728991188433
I0003,legendary,3518.35,0.001753398166015566
I0004,rare,398.07,0.012005554502982609
I0005,rare,456.29,0.014852878882688797
I0006,common,43.89,0.040557911143872055
I0007,legendary,3425.1,0.0008928873267276695
I0008,common,52.87,0.12618409351374923
I0009,rare,371.16,0.008141169044497352
I0010,rare,292.41,0.018106659417588017
I0011,rare,380.73,0.006078445515485743
I0012,common,54.46,0.10707369610246453
I0013,rare,421.28,0.012939763050006442
I0014,legendary,3220.92,0.0015077971279061652
I0015,rare,407.64,0.005611882876594164
I0016,common,48.68,0.09416798972251153
I0017,common,38.42,0.14102732187896996
I0018,common,47.78,0.07080124669025722
I0019,common,41.65,0.09920299556236062
I0020,common,49.59,0.1367269032633129
I0021,rare,489.56,0.018763462241509387
I0022,common,36.3,0.05367786070336176
I0023,legendary,2251.6,0.0014884528511162718
I0024,rare,391.6,0.006818268198667314
I0025,common,73.99,0.08404373672929173
I0026,common,36.28,0.04657010341297719
I0027,common,31.25,0.06730591553038347
I0028,common,50.94,0.09556542395954236
I0029,common,67.37,0.138098912760525
I0030,common,65.17,0.06200627243692897
I0031,rare,341.6,0.005627377881410488
I0032,common,50.11,0.1093230994512633
I0033,rare,458.1,0.006402671431968858
I0034,common,48.7,0.12107277037723338
I0035,common,56.84,0.14465873121841138
I0036,common,36.28,0.05813073049063263
I0037,rare,444.35,0.013905955146863137
I0038,common,55.43,0.12961073217995836
I0039,common,26.18,0.036469685540944916
