listing_id,ts,seller_id,region,item_id,qty,list_price,expires_at
L0000001,2025-01-01 00:00:00,P00003,NA,I0036,1,335.9,2025-01-01 20:00:00
L0000029,2025-01-01 00:00:00,P00308,NA,I0019,2,52.09,2025-01-01 23:00:00
L0000030,2025-01-01 00:00:00,P00316,ASIA,I0018,1,34.64,2025-01-01 12:00:00
L0000031,2025-01-01 00:00:00,P00334,ASIA,I0021,2,52.25,2025-01-01 20:00:00
L0000032,2025-01-01 00:00:00,P00339,NA,I0006,2,60.11,2025-01-01 13:00:00
L0000034,2025-01-01 00:00:00,P00372,ASIA,I0039,1,478.11,2025-01-02 07:00:00
L0000035,2025-01-01 00:00:00,P00380,EU,I0035,1,406.72,2025-01-01 13:00:00
L0000036,2025-01-01 00:00:00,P00384,NA,I0033,1,30.19,2025-01-01 17:00:00
L0000037,2025-01-01 00:00:00,P00392,NA,I0006,1,53.0,2025-01-01 18:00:00
L0000038,2025-01-01 00:00:00,P00409,NA,I0029,2,48.32,2025-01-01 13:00:00
L0000040,2025-01-01 00:00:00,P00431,ASIA,I0030,1,498.84,2025-01-01 21:00:00
L0000041,2025-01-01 00:00:00,P00446,ASIA,I0009,2,49.02,2025-01-02 06:00:00
L0000042,2025-01-01 00:00:00,P00491,ASIA,I0032,2,43.12,2025-01-01 19:00:00
L0000043,2025-01-01 00:00:00,P00541,EU,I0009,2,48.98,2025-01-01 14:00:00
L0000044,2025-01-01 00:00:00,P00563,ASIA,I0037,2,31.47,2025-01-01 15:00:00
L0000045,2025-01-01 00:00:00,P00567,EU,I0038,2,45.4,2025-01-01 21:00:00
L0000046,2025-01-01 00:00:00,P00573,NA,I0004,2,46.41,2025-01-02 03:00:00
L0000047,2025-01-01 00:00:00,P00581,EU,I0023,2,45.13,2025-01-02 04:00:00
L0000048,2025-01-01 00:00:00,P00590,NA,I0029,3,40.43,2025-01-02 02:00:00
L0000049,2025-01-01 00:00:00,P00599,NA,I0012,1,33.39,2025-01-01 19:00:00
L0000026,2025-01-01 00:00:00,P00261,EU,I0038,1,45.51,2025-01-02 10:00:00
L0000018,2025-01-01 00:00:00,P00193,ASIA,I0012,2,36.23,2025-01-01 17:00:00
L0000028,2025-01-01 00:00:00,P00275,NA,I0009,1,50.62,2025-01-01 23:00:00
L0000027,2025-01-01 00:00:00,P00273,EU,I0038,1,45.25,2025-01-02 03:00:00
