player_id,day,top_features,top_feature_abs_z,anomaly_score,is_suspicious
P00000,2025-01-01,s_counterparties;s_trades;seller_hour_entropy,4.43;4.3;2.98,0.4866111398159193,0
P00000,2025-01-02,seller_hour_entropy;s_counterparties;s_trades,2.17;2.04;1.97,0.4715136543070706,0
P00000,2025-01-03,s_items;max_pair_as_seller;seller_hour_entropy,0.51;0.49;0.41,0.011479700934549596,0
P00000,2025-01-04,buyer_hour_entropy;s_items;max_pair_as_seller,0.54;0.51;0.49,0.016961706928710334,0
P00001,2025-01-01,b_items;b_counterparties;buyer_hour_entropy,1.16;1.1;1.07,0.07139890883753858,0
P00001,2025-01-02,b_price_z_mean;buyer_hour_entropy;s_items,0.62;0.54;0.51,0.034663783360711804,0
P00001,2025-01-03,buyer_hour_entropy;b_items;b_counterparties,1.46;1.12;1.12,0.080710100469391,0
P00001,2025-01-04,s_items;max_pair_as_seller;seller_hour_entropy,0.51;0.49;0.41,0.0023593722382217026,0
P00002,2025-01-02,b_price_z_mean;b_price_z_max;buyer_hour_entropy,7.92;6.11;1.46,0.37736458034277237,0
P00002,2025-01-03,b_items;b_counterparties;s_price_z_mean,2.68;2.57;2.47,0.5857425361996628,0
P00002,2025-01-04,s_items;max_pair_as_seller;b_price_z_mean,1.61;1.27;0.65,0.2446730691357942,0
P00003,2025-01-01,s_trades;s_counterparties;seller_hour_entropy,6.22;6.11;3.97,0.7749581654352595,1
P00003,2025-01-02,seller_hour_entropy;s_counterparties;s_trades,1.94;1.9;1.84,0.37144074957177187,0
P00003,2025-01-03,s_items;max_pair_as_seller;seller_hour_entropy,0.51;0.49;0.41,0.009338472909209562,0
P00003,2025-01-04,s_items;seller_hour_entropy;s_counterparties,3.73;1.83;1.47,0.48496887486256035,0
P00004,2025-01-02,buyer_hour_entropy;s_items;max_pair_as_seller,0.54;0.51;0.49,0.021608666899601354,0
P00004,2025-01-03,b_items;b_counterparties;buyer_hour_entropy,1.16;1.1;1.07,0.0659425109311295,0
P00004,2025-01-04,b_items;b_counterparties;buyer_hour_entropy,1.16;1.1;1.07,0.09091549849706396,0
P00005,2025-01-01,buyer_hour_entropy;b_items;b_counterparties,1.46;1.12;1.12,0.059066177971589875,0
