entity_type,entity_id,fraud_type,is_fraud
trade,T0005658,wash_trading,1
listing,L0004473,wash_trading,1
trade,T0005659,wash_trading,1
listing,L0004474,wash_trading,1
trade,T0005660,wash_trading,1
listing,L0004475,wash_trading,1
trade,T0005661,wash_trading,1
listing,L0004476,wash_trading,1
trade,T0005662,wash_trading,1
listing,L0004477,wash_trading,1
trade,T0005663,wash_trading,1
listing,L0004478,wash_trading,1
trade,T0005664,wash_trading,1
listing,L0004479,wash_trading,1
trade,T0005665,wash_trading,1
listing,L0004480,wash_trading,1
trade,T0005666,wash_trading,1
listing,L0004481,wash_trading,1
trade,T0005667,wash_trading,1
listing,L0004482,wash_trading,1
trade,T0005668,wash_trading,1
listing,L0004483,wash_trading,1
trade,T0005669,wash_trading,1
listing,L0004484,wash_trading,1
trade,T0005670,wash_trading,1
listing,L0004485,wash_trading,1
trade,T0005671,wash_trading,1
listing,L0004486,wash_trading,1
trade,T0005672,wash_trading,1
listing,L0004487,wash_trading,1
trade,T0005673,wash_trading,1
listing,L0004488,wash_trading,1
trade,T0005674,wash_trading,1
listing,L0004489,wash_trading,1
trade,T0005675,wash_trading,1
listing,L0004490,wash_trading,1
trade,T0005676,wash_trading,1
listing,L0004491,wash_trading,1
trade,T0005677,wash_trading,1
listing,L0004492,wash_trading,1
trade,T0005678,wash_trading,1
listing,L0004493,wash_trading,1
trade,T0005679,wash_trading,1
listing,L0004494,wash_trading,1
trade,T0005680,wash_trading,1
listing,L0004495,wash_trading,1
trade,T0005681,wash_trading,1
listing,L0004496,wash_trading,1
trade,T0005682,wash_trading,1
listing,L0004497,wash_trading,1
trade,T0005683,wash_trading,1
listing,L0004498,wash_trading,1
trade,T0005684,wash_trading,1
listing,L0004499,wash_trading,1
trade,T0005685,wash_trading,1
listing,L0004500,wash_trading,1
trade,T0005686,wash_trading,1
listing,L0004501,wash_trading,1
trade,T0005687,wash_trading,1
listing,L0004502,wash_trading,1
trade,T0005688,wash_trading,1
listing,L0004503,wash_trading,1
trade,T0005689,wash_trading,1
