entity_type,entity_id,risk,code,detail
trade,T0000438,0.85,UNDERPRICED,-18.5σ vs median
trade,T0000442,0.85,UNDERPRICED,-18.5σ vs median
trade,T0000462,0.85,UNDERPRICED,-18.5σ vs median
trade,T0000437,0.85,UNDERPRICED,-18.5σ vs median
trade,T0000504,0.85,UNDERPRICED,-18.5σ vs median
trade,T0002389,0.85,UNDERPRICED,-4.7σ vs median
trade,T0002472,0.85,UNDERPRICED,-4.7σ vs median
trade,T0002629,0.85,UNDERPRICED,-4.7σ vs median
trade,T0002669,0.85,UNDERPRICED,-4.7σ vs median
trade,T0003985,0.85,OVERPRICED,+14.5σ vs median
trade,T0004040,0.85,OVERPRICED,+14.5σ vs median
trade,T0004087,0.85,OVERPRICED,+12.5σ vs median
trade,T0004304,0.85,OVERPRICED,+6.9σ vs median
trade,T0004365,0.85,OVERPRICED,+6.9σ vs median
trade,T0004320,0.85,OVERPRICED,+6.9σ vs median
trade,T0004439,0.85,OVERPRICED,+6.8σ vs median
trade,T0004454,0.85,OVERPRICED,+6.8σ vs median
trade,T0004486,0.85,OVERPRICED,+6.8σ vs median
trade,T0004478,0.85,OVERPRICED,+6.8σ vs median
trade,T0004554,0.85,OVERPRICED,+6.8σ vs median
trade,T0004743,0.85,UNDERPRICED,-2.8σ vs median
trade,T0005659,0.85,OVERPRICED,+12.2σ vs median
trade,T0005661,0.85,OVERPRICED,+12.2σ vs median
trade,T0005658,0.85,OVERPRICED,+12.2σ vs median
trade,T0005664,0.85,OVERPRICED,+12.2σ vs median
trade,T0000126,0.85,UNDERPRICED,-12.2σ vs median
trade,T0000399,0.85,UNDERPRICED,-4.4σ vs median
trade,T0000545,0.85,UNDERPRICED,-4.4σ vs median
trade,T0000524,0.85,UNDERPRICED,-4.4σ vs median
trade,T0005726,0.85,UNDERPRICED,-3.0σ vs median
trade,T0000117,0.85,UNDERPRICED,-9.3σ vs median
trade,T0000224,0.85,UNDERPRICED,-11.1σ vs median
trade,T0000231,0.85,UNDERPRICED,-11.1σ vs median
trade,T0000205,0.85,UNDERPRICED,-11.1σ vs median
trade,T0003048,0.85,UNDERPRICED,-8.8σ vs median
trade,T0003032,0.85,UNDERPRICED,-8.8σ vs median
trade,T0003135,0.85,UNDERPRICED,-8.8σ vs median
trade,T0003123,0.85,UNDERPRICED,-8.8σ vs median
trade,T0003147,0.85,UNDERPRICED,-8.8σ vs median
trade,T0003196,0.85,UNDERPRICED,-8.8σ vs median
trade,T0003266,0.85,UNDERPRICED,-8.8σ vs median
trade,T0003351,0.85,UNDERPRICED,-8.8σ vs median
trade,T0003323,0.85,UNDERPRICED,-8.8σ vs median
trade,T0003447,0.85,UNDERPRICED,-8.8σ vs median
trade,T0003394,0.85,UNDERPRICED,-8.8σ vs median
trade,T0004041,0.85,OVERPRICED,+277.2σ vs median
trade,T0004032,0.85,OVERPRICED,+277.2σ vs median
trade,T0004127,0.85,OVERPRICED,+21.3σ vs median
trade,T0004183,0.85,OVERPRICED,+21.3σ vs median
trade,T0004228,0.85,OVERPRICED,+21.3σ vs median
trade,T0004296,0.85,OVERPRICED,+17.6σ vs median
trade,T0004373,0.85,OVERPRICED,+2.6σ vs median
trade,T0004347,0.85,OVERPRICED,+2.6σ vs median
trade,T0004345,0.85,OVERPRICED,+2.6σ vs median
trade,T0004319,0.85,OVERPRICED,+2.6σ vs median
trade,T0004410,0.85,OVERPRICED,+2.6σ vs median
trade,T0004396,0.85,OVERPRICED,+2.6σ vs median
trade,T0004442,0.85,OVERPRICED,+2.6σ vs median
trade,T0004485,0.85,OVERPRICED,+2.6σ vs median
trade,T0000477,0.85,UNDERPRICED,-16.6σ vs median
trade,T0000542,0.85,UNDERPRICED,-16.6σ vs median
trade,T0000494,0.85,UNDERPRICED,-16.6σ vs median
trade,T0002076,0.85,UNDERPRICED,-13.1σ vs median
trade,T0002189,0.85,UNDERPRICED,-13.1σ vs median
trade,T0002307,0.85,UNDERPRICED,-13.1σ vs median
trade,T0002275,0.85,UNDERPRICED,-13.1σ vs median
trade,T0002397,0.85,UNDERPRICED,-13.1σ vs median
trade,T0002534,0.85,UNDERPRICED,-13.1σ vs median
trade,T0002554,0.85,UNDERPRICED,-13.1σ vs median
trade,T0002583,0.85,UNDERPRICED,-13.1σ vs median
trade,T0002591,0.85,UNDERPRICED,-13.1σ vs median
trade,T0002710,0.85,UNDERPRICED,-13.1σ vs median
trade,T0002775,0.85,UNDERPRICED,-13.1σ vs median
trade,T0002721,0.85,UNDERPRICED,-13.1σ vs median
trade,T0004432,0.85,UNDERPRICED,-4.6σ vs median
trade,T0004446,0.85,UNDERPRICED,-4.6σ vs median
trade,T0004556,0.85,UNDERPRICED,-4.6σ vs median
trade,T0004577,0.85,UNDERPRICED,-4.6σ vs median
trade,T0004606,0.85,UNDERPRICED,-4.6σ vs median
trade,T0004767,0.85,UNDERPRICED,-24.5σ vs median
trade,T0004889,0.85,UNDERPRICED,-11.9σ vs median
trade,T0004898,0.85,UNDERPRICED,-11.9σ vs median
trade,T0004872,0.85,UNDERPRICED,-11.9σ vs median
trade,T0004870,0.85,UNDERPRICED,-11.9σ vs median
trade,T0004926,0.85,UNDERPRICED,-11.9σ vs median
trade,T0004940,0.85,UNDERPRICED,-11.9σ vs median
trade,T0005380,0.85,UNDERPRICED,-12.0σ vs median
trade,T0005393,0.85,UNDERPRICED,-12.0σ vs median
trade,T0005513,0.85,UNDERPRICED,-12.0σ vs median
trade,T0000498,0.85,UNDERPRICED,-46.4σ vs median
trade,T0005722,0.85,UNDERPRICED,-136.2σ vs median
trade,T0000554,0.85,UNDERPRICED,-15.5σ vs median
