item_id,rarity,base_value,drop_rate
I0000,common,77.06,0.14571527486237784
I0001,rare,390.85,0.00930619763835329
I0002,common,37.76,0.11486820621134976
I0003,common,61.76,0.10803953034244039
I0004,common,66.98,0.055150849787634265
I0005,common,54.21,0.06844509973899311
I0006,rare,512.56,0.010764543427363198
I0007,legendary,2725.95,0.0017829662532249447
I0008,common,57.65,0.020348829857231642
I0009,common,62.8,0.1282841801889159
I0010,common,43.3,0.05589105951888987
I0011,rare,302.91,0.00998566555184553
I0012,rare,413.37,0.010652534669728979
I0013,common,54.17,0.030306541351416163
I0014,common,41.12,0.061026848659679445
I0015,common,43.09,0.06201209825658729
I0016,common,43.68,0.11411813265569427
I0017,rare,520.16,0.014285464594683401
I0018,common,48.54,0.02074186761434063
I0019,common,51.5,0.049901755488472845
I0020,common,54.63,0.1365410054804511
I0021,common,35.49,0.1311338955260507
I0022,rare,383.83,0.012459960426457972
I0023,common,70.27,0.10177406989004448
I0024,legendary,3953.5,0.0016459119015405353
I0025,common,61.84,0.09266348620636043
I0026,common,57.44,0.04894027901064506
I0027,rare,365.66,0.007963841561196843
I0028,common,46.33,0.1337626722998032
I0029,common,49.09,0.11889379281662399
I0030,common,55.61,0.08668124555385043
I0031,common,54.21,0.04093237885754107
I0032,common,32.79,0.04805909679943374
I0033,common,57.59,0.0693081581347329
I0034,common,79.88,0.06304620119406087
I0035,legendary,2440.89,0.002283356818033115
I0036,common,31.07,0.027937286730745577
I0037,rare,409.44,0.016928894842782233
I0038,common,60.2,0.07282892751747917
I0039,common,53.79,0.07833324580162376
