listing_id,ts,seller_id,region,item_id,qty,list_price,expires_at
L0000001,2025-01-01 00:00:00,P00004,EU,I0024,1,3661.5,2025-01-01 16:00:00
L0000033,2025-01-01 00:00:00,P00393,NA,I0038,1,61.79,2025-01-02 10:00:00
L0000034,2025-01-01 00:00:00,P00394,EU,I0034,2,71.3,2025-01-02 11:00:00
L0000035,2025-01-01 00:00:00,P00397,EU,I0025,1,64.06,2025-01-01 17:00:00
L0000036,2025-01-01 00:00:00,P00403,NA,I0001,1,463.36,2025-01-02 11:00:00
L0000037,2025-01-01 00:00:00,P00404,EU,I0004,1,83.3,2025-01-01 21:00:00
L0000038,2025-01-01 00:00:00,P00405,ASIA,I0035,2,2175.16,2025-01-01 22:00:00
L0000039,2025-01-01 00:00:00,P00409,ASIA,I0010,2,42.44,2025-01-02 01:00:00
L0000041,2025-01-01 00:00:00,P00421,NA,I0020,1,72.62,2025-01-02 06:00:00
L0000042,2025-01-01 00:00:00,P00448,NA,I0024,1,4466.18,2025-01-02 00:00:00
L0000030,2025-01-01 00:00:00,P00359,NA,I0018,1,52.75,2025-01-01 16:00:00
L0000031,2025-01-01 00:00:00,P00365,NA,I0029,1,47.76,2025-01-02 00:00:00
L0000032,2025-01-01 00:00:00,P00378,NA,I0016,1,40.28,2025-01-01 18:00:00
L0000043,2025-01-01 00:00:00,P00473,NA,I0021,1,28.69,2025-01-02 07:00:00
L0000047,2025-01-01 00:00:00,P00518,EU,I0027,1,457.1,2025-01-02 03:00:00
L0000048,2025-01-01 00:00:00,P00537,EU,I0018,1,58.67,2025-01-01 16:00:00
L0000049,2025-01-01 00:00:00,P00544,NA,I0034,1,85.73,2025-01-01 22:00:00
L0000050,2025-01-01 00:00:00,P00547,EU,I0022,2,374.01,2025-01-01 16:00:00
L0000051,2025-01-01 00:00:00,P00552,EU,I0028,2,52.65,2025-01-01 14:00:00
L0000053,2025-01-01 00:00:00,P00559,EU,I0036,1,26.27,2025-01-01 16:00:00
L0000054,2025-01-01 00:00:00,P00579,EU,I0019,2,45.56,2025-01-02 04:00:00
L0000055,2025-01-01 00:00:00,P00584,EU,I0019,2,61.88,2025-01-01 13:00:00
L0000044,2025-01-01 00:00:00,P00481,EU,I0000,1,68.07,2025-01-02 01:00:00
L0000045,2025-01-01 00:00:00,P00503,NA,I0013,1,56.88,2025-01-01 17:00:00
L0000040,2025-01-01 00:00:00,P00420,NA,I0034,1,75.55,2025-01-02 00:00:00
L0000046,2025-01-01 00:00:00,P00510,NA,I0016,2,42.33,2025-01-01 20:00:00
L0000029,2025-01-01 00:00:00,P00344,EU,I0016,1,55.12,2025-01-01 21:00:00
L0000052,2025-01-01 00:00:00,P00558,EU,I0009,1,44.85,2025-01-02 10:00:00
L0000027,2025-01-01 00:00:00,P00296,ASIA,I0016,1,44.47,2025-01-02 01:00:00
L0000028,2025-01-01 00:00:00,P00335,EU,I0030,3,59.64,2025-01-02 01:00:00
L0000004,2025-01-01 00:00:00,P00102,EU,I0015,2,48.85,2025-01-01 17:00:00
L0000005,2025-01-01 00:00:00,P00108,EU,I0012,1,395.25,2025-01-02 00:00:00
L0000006,2025-01-01 00:00:00,P00112,EU,I0005,1,62.92,2025-01-01 12:00:00
L0000007,2025-01-01 00:00:00,P00132,EU,I0003,1,80.48,2025-01-02 02:00:00
L0000008,2025-01-01 00:00:00,P00135,EU,I0028,2,57.69,2025-01-01 20:00:00
L0000016,2025-01-01 00:00:00,P00191,NA,I0034,2,90.12,2025-01-02 08:00:00
L0000009,2025-01-01 00:00:00,P00146,EU,I0020,1,60.21,2025-01-01 20:00:00
L0000010,2025-01-01 00:00:00,P00161,ASIA,I0018,1,61.34,2025-01-02 02:00:00
L0000011,2025-01-01 00:00:00,P00163,EU,I0005,1,62.91,2025-01-01 15:00:00
L0000013,2025-01-01 00:00:00,P00178,NA,I0032,1,24.02,2025-01-01 16:00:00
L0000002,2025-01-01 00:00:00,P00007,ASIA,I0024,1,3754.53,2025-01-01 19:00:00
L0000012,2025-01-01 00:00:00,P00166,NA,I0026,3,45.46,2025-01-02 08:00:00
L0000015,2025-01-01 00:00:00,P00184,ASIA,I0003,1,72.2,2025-01-01 12:00:00
L0000003,2025-01-01 00:00:00,P00099,EU,I0014,3,46.77,2025-01-02 01:00:00
L0000021,2025-01-01 00:00:00,P00233,ASIA,I0017,2,546.47,2025-01-02 09:00:00
L0000017,2025-01-01 00:00:00,P00205,EU,I0029,2,54.57,2025-01-01 14:00:00
L0000014,2025-01-01 00:00:00,P00183,NA,I0018,3,47.4,2025-01-01 22:00:00
L0000019,2025-01-01 00:00:00,P00223,NA,I0038,3,56.0,2025-01-02 09:00:00
L0000020,2025-01-01 00:00:00,P00231,NA,I0031,1,48.21,2025-01-01 12:00:00
L0000018,2025-01-01 00:00:00,P00211,EU,I0029,1,44.61,2025-01-01 21:00:00
