entity_type,entity_id,fraud_type,is_fraud
trade,T0005665,wash_trading,1
listing,L0004500,wash_trading,1
trade,T0005666,wash_trading,1
listing,L0004501,wash_trading,1
trade,T0005667,wash_trading,1
listing,L0004502,wash_trading,1
trade,T0005668,wash_trading,1
listing,L0004503,wash_trading,1
trade,T0005669,wash_trading,1
listing,L0004504,wash_trading,1
trade,T0005670,wash_trading,1
listing,L0004505,wash_trading,1
trade,T0005671,wash_trading,1
listing,L0004506,wash_trading,1
trade,T0005672,wash_trading,1
listing,L0004507,wash_trading,1
trade,T0005673,wash_trading,1
listing,L0004508,wash_trading,1
trade,T0005674,wash_trading,1
listing,L0004509,wash_trading,1
trade,T0005675,wash_trading,1
listing,L0004510,wash_trading,1
trade,T0005676,wash_trading,1
listing,L0004511,wash_trading,1
trade,T0005677,wash_trading,1
listing,L0004512,wash_trading,1
trade,T0005678,wash_trading,1
listing,L0004513,wash_trading,1
trade,T0005679,wash_trading,1
listing,L0004514,wash_trading,1
trade,T0005680,wash_trading,1
listing,L0004515,wash_trading,1
trade,T0005681,wash_trading,1
listing,L0004516,wash_trading,1
trade,T0005682,wash_trading,1
listing,L0004517,wash_trading,1
trade,T0005683,wash_trading,1
listing,L0004518,wash_trading,1
trade,T0005684,wash_trading,1
listing,L0004519,wash_trading,1
trade,T0005685,wash_trading,1
listing,L0004520,wash_trading,1
trade,T0005686,wash_trading,1
listing,L0004521,wash_trading,1
trade,T0005687,wash_trading,1
listing,L0004522,wash_trading,1
trade,T0005688,wash_trading,1
listing,L0004523,wash_trading,1
trade,T0005689,wash_trading,1
listing,L0004524,wash_trading,1
trade,T0005690,wash_trading,1
listing,L0004525,wash_trading,1
trade,T0005691,wash_trading,1
listing,L0004526,wash_trading,1
trade,T0005692,wash_trading,1
listing,L0004527,wash_trading,1
trade,T0005693,wash_trading,1
listing,L0004528,wash_trading,1
trade,T0005694,wash_trading,1
listing,L0004529,wash_trading,1
trade,T0005695,wash_trading,1
listing,L0004530,wash_trading,1
trade,T0005696,wash_trading,1
listing,L0004531,wash_trading,1
trade,T0005697,wash_trading,1
listing,L0004532,wash_trading,1
trade,T0005698,wash_trading,1
listing,L0004533,wash_trading,1
trade,T0005699,wash_trading,1
listing,L0004534,wash_trading,1
trade,T0005700,wash_trading,1
listing,L0004535,wash_trading,1
trade,T0005701,wash_trading,1
listing,L0004536,wash_trading,1
trade,T0005702,wash_trading,1
listing,L0004537,wash_trading,1
trade,T0005703,wash_trading,1
listing,L0004538,wash_trading,1
trade,T0005704,wash_trading,1
listing,L0004539,wash_trading,1
trade,T0005705,wash_trading,1
listing,L0004540,wash_trading,1
trade,T0005706,wash_trading,1
listing,L0004541,wash_trading,1
trade,T0005707,wash_trading,1
listing,L0004542,wash_trading,1
trade,T0005708,wash_trading,1
listing,L0004543,wash_trading,1
trade,T0005709,wash_trading,1
listing,L0004544,wash_trading,1
trade,T0005710,wash_trading,1
listing,L0004545,wash_trading,1
trade,T0005711,wash_trading,1
listing,L0004546,wash_trading,1
trade,T0005712,wash_trading,1
listing,L0004547,wash_trading,1
trade,T0005713,mule_transfer,1
listing,L0004548,mule_transfer,1
account,P00015,mule_transfer,1
trade,T0005714,mule_transfer,1
listing,L0004549,mule_transfer,1
account,P00304,mule_transfer,1
trade,T0005715,mule_transfer,1
listing,L0004550,mule_transfer,1
account,P00590,mule_transfer,1
trade,T0005716,mule_transfer,1
listing,L0004551,mule_transfer,1
account,P00254,mule_transfer,1
trade,T0005717,mule_transfer,1
listing,L0004552,mule_transfer,1
account,P00552,mule_transfer,1
trade,T0005718,mule_transfer,1
listing,L0004553,mule_transfer,1
account,P00190,mule_transfer,1
trade,T0005719,mule_transfer,1
listing,L0004554,mule_transfer,1
account,P00350,mule_transfer,1
trade,T0005720,mule_transfer,1
listing,L0004555,mule_transfer,1
account,P00071,mule_transfer,1
trade,T0005721,mule_transfer,1
listing,L0004556,mule_transfer,1
account,P00272,mule_transfer,1
trade,T0005722,mule_transfer,1
listing,L0004557,mule_transfer,1
account,P00458,mule_transfer,1
trade,T0005723,mule_transfer,1
listing,L0004558,mule_transfer,1
account,P00541,mule_transfer,1
trade,T0005724,mule_transfer,1
listing,L0004559,mule_transfer,1
account,P00222,mule_transfer,1
trade,T0005725,collusive_flip,1
listing,L0004560,collusive_flip,1
trade,T0005726,collusive_flip,1
listing,L0004561,collusive_flip,1
trade,T0005727,collusive_flip,1
listing,L0004562,collusive_flip,1
trade,T0005728,collusive_flip,1
listing,L0004563,collusive_flip,1
trade,T0005729,collusive_flip,1
listing,L0004564,collusive_flip,1
trade,T0005730,collusive_flip,1
listing,L0004565,collusive_flip,1
trade,T0005731,collusive_flip,1
listing,L0004566,collusive_flip,1
trade,T0005732,collusive_flip,1
listing,L0004567,collusive_flip,1
trade,T0005733,collusive_flip,1
listing,L0004568,collusive_flip,1
trade,T0005734,collusive_flip,1
listing,L0004569,collusive_flip,1
trade,T0005735,collusive_flip,1
listing,L0004570,collusive_flip,1
trade,T0005736,collusive_flip,1
listing,L0004571,collusive_flip,1
trade,T0005737,collusive_flip,1
listing,L0004572,collusive_flip,1
trade,T0005738,collusive_flip,1
listing,L0004573,collusive_flip,1
trade,T0005739,collusive_flip,1
listing,L0004574,collusive_flip,1
trade,T0005740,collusive_flip,1
listing,L0004575,collusive_flip,1
trade,T0005741,collusive_flip,1
listing,L0004576,collusive_flip,1
trade,T0005742,collusive_flip,1
listing,L0004577,collusive_flip,1
trade,T0005743,collusive_flip,1
listing,L0004578,collusive_flip,1
trade,T0005744,collusive_flip,1
listing,L0004579,collusive_flip,1
