entity_type,entity_id,risk,code,detail
trade,T0000517,0.85,UNDERPRICED,-13.3σ vs median
trade,T0000575,0.85,UNDERPRICED,-13.3σ vs median
trade,T0000655,0.85,UNDERPRICED,-13.3σ vs median
trade,T0001932,0.85,UNDERPRICED,-5.6σ vs median
trade,T0001907,0.85,UNDERPRICED,-5.6σ vs median
trade,T0001929,0.85,UNDERPRICED,-5.6σ vs median
trade,T0001887,0.85,UNDERPRICED,-5.6σ vs median
trade,T0005777,0.85,OVERPRICED,+4.9σ vs median
trade,T0005775,0.85,OVERPRICED,+3.4σ vs median
trade,T0001937,0.85,UNDERPRICED,-5.6σ vs median
trade,T0001990,0.85,UNDERPRICED,-5.6σ vs median
trade,T0005776,0.85,UNDERPRICED,-3.8σ vs median
trade,T0002000,0.85,UNDERPRICED,-5.6σ vs median
trade,T0002070,0.85,UNDERPRICED,-5.6σ vs median
trade,T0002112,0.85,UNDERPRICED,-5.6σ vs median
trade,T0002193,0.85,UNDERPRICED,-5.6σ vs median
trade,T0002303,0.85,UNDERPRICED,-5.6σ vs median
trade,T0002319,0.85,UNDERPRICED,-5.6σ vs median
trade,T0002394,0.85,UNDERPRICED,-5.6σ vs median
trade,T0002378,0.85,UNDERPRICED,-5.6σ vs median
trade,T0002361,0.85,UNDERPRICED,-5.6σ vs median
trade,T0002381,0.85,UNDERPRICED,-15.7σ vs median
trade,T0002401,0.85,UNDERPRICED,-7.8σ vs median
trade,T0002450,0.85,UNDERPRICED,-3.5σ vs median
trade,T0003380,0.85,OVERPRICED,+23.5σ vs median
trade,T0003482,0.85,OVERPRICED,+25.4σ vs median
trade,T0003497,0.85,OVERPRICED,+25.4σ vs median
trade,T0003501,0.85,OVERPRICED,+37.4σ vs median
trade,T0003618,0.85,OVERPRICED,+37.4σ vs median
trade,T0003658,0.85,OVERPRICED,+18.7σ vs median
trade,T0003759,0.85,OVERPRICED,+17.4σ vs median
trade,T0003774,0.85,OVERPRICED,+17.4σ vs median
trade,T0003807,0.85,OVERPRICED,+17.4σ vs median
trade,T0003845,0.85,OVERPRICED,+17.4σ vs median
trade,T0003955,0.85,OVERPRICED,+17.4σ vs median
trade,T0003936,0.85,OVERPRICED,+17.4σ vs median
trade,T0004347,0.85,OVERPRICED,+12.0σ vs median
trade,T0003884,0.85,UNDERPRICED,-3.8σ vs median
trade,T0003860,0.85,UNDERPRICED,-3.8σ vs median
trade,T0003863,0.85,UNDERPRICED,-3.8σ vs median
trade,T0003986,0.85,UNDERPRICED,-4.6σ vs median
trade,T0004025,0.85,UNDERPRICED,-4.6σ vs median
trade,T0004040,0.85,UNDERPRICED,-4.6σ vs median
trade,T0004087,0.85,UNDERPRICED,-4.6σ vs median
trade,T0004086,0.85,UNDERPRICED,-4.6σ vs median
trade,T0004109,0.85,UNDERPRICED,-4.6σ vs median
trade,T0004130,0.85,UNDERPRICED,-4.6σ vs median
trade,T0004164,0.85,UNDERPRICED,-4.6σ vs median
trade,T0005395,0.85,UNDERPRICED,-2.7σ vs median
trade,T0005427,0.85,UNDERPRICED,-2.7σ vs median
trade,T0005426,0.85,UNDERPRICED,-2.7σ vs median
trade,T0005500,0.85,UNDERPRICED,-2.7σ vs median
trade,T0005654,0.85,UNDERPRICED,-2.7σ vs median
trade,T0005693,0.85,UNDERPRICED,-2.7σ vs median
trade,T0005718,0.85,OVERPRICED,+66.2σ vs median
trade,T0000106,0.85,UNDERPRICED,-66.2σ vs median
trade,T0000105,0.85,UNDERPRICED,-66.2σ vs median
trade,T0000218,0.85,UNDERPRICED,-66.2σ vs median
trade,T0000281,0.85,UNDERPRICED,-66.2σ vs median
trade,T0002363,0.85,OVERPRICED,+24.1σ vs median
trade,T0002379,0.85,OVERPRICED,+24.1σ vs median
trade,T0002422,0.85,OVERPRICED,+24.1σ vs median
trade,T0002506,0.85,OVERPRICED,+24.1σ vs median
trade,T0002566,0.85,OVERPRICED,+26.8σ vs median
trade,T0002618,0.85,OVERPRICED,+22.3σ vs median
trade,T0002668,0.85,OVERPRICED,+22.3σ vs median
trade,T0002764,0.85,OVERPRICED,+29.9σ vs median
trade,T0002819,0.85,OVERPRICED,+18.5σ vs median
trade,T0002831,0.85,OVERPRICED,+18.1σ vs median
trade,T0002808,0.85,OVERPRICED,+17.8σ vs median
trade,T0002860,0.85,OVERPRICED,+17.8σ vs median
trade,T0002851,0.85,OVERPRICED,+17.8σ vs median
trade,T0002853,0.85,OVERPRICED,+17.8σ vs median
trade,T0002909,0.85,OVERPRICED,+17.8σ vs median
trade,T0004999,0.85,UNDERPRICED,-27.8σ vs median
trade,T0004987,0.85,UNDERPRICED,-18.5σ vs median
trade,T0004972,0.85,UNDERPRICED,-13.9σ vs median
trade,T0004988,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005025,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005026,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005029,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005020,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005021,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005112,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005056,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005069,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005101,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005102,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005155,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005194,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005190,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005187,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005232,0.85,UNDERPRICED,-13.9σ vs median
trade,T0005290,0.85,UNDERPRICED,-13.9σ vs median
trade,T0000357,0.85,UNDERPRICED,-149.1σ vs median
trade,T0000412,0.85,UNDERPRICED,-74.5σ vs median
trade,T0000446,0.85,UNDERPRICED,-49.7σ vs median
trade,T0000474,0.85,UNDERPRICED,-37.3σ vs median
trade,T0001512,0.85,OVERPRICED,+62.4σ vs median
trade,T0001496,0.85,OVERPRICED,+31.2σ vs median
trade,T0005769,0.85,UNDERPRICED,-3.8σ vs median
trade,T0005442,0.85,UNDERPRICED,-3.1σ vs median
trade,T0000247,0.85,UNDERPRICED,-4.5σ vs median
trade,T0000307,0.85,UNDERPRICED,-7.6σ vs median
trade,T0000326,0.85,UNDERPRICED,-7.6σ vs median
trade,T0000330,0.85,UNDERPRICED,-7.6σ vs median
trade,T0000298,0.85,UNDERPRICED,-7.6σ vs median
trade,T0000369,0.85,UNDERPRICED,-7.6σ vs median
trade,T0002436,0.85,OVERPRICED,+3.9σ vs median
trade,T0002444,0.85,OVERPRICED,+3.9σ vs median
trade,T0002437,0.85,OVERPRICED,+3.9σ vs median
trade,T0002528,0.85,OVERPRICED,+4.3σ vs median
trade,T0002512,0.85,OVERPRICED,+4.3σ vs median
trade,T0002544,0.85,OVERPRICED,+4.3σ vs median
trade,T0002623,0.85,OVERPRICED,+4.3σ vs median
trade,T0002625,0.85,OVERPRICED,+4.3σ vs median
trade,T0002693,0.85,OVERPRICED,+4.3σ vs median
trade,T0002770,0.85,OVERPRICED,+4.7σ vs median
trade,T0002767,0.85,OVERPRICED,+4.7σ vs median
trade,T0002830,0.85,OVERPRICED,+4.7σ vs median
trade,T0002880,0.85,OVERPRICED,+4.7σ vs median
trade,T0002874,0.85,OVERPRICED,+4.7σ vs median
trade,T0002868,0.85,OVERPRICED,+4.7σ vs median
trade,T0002866,0.85,OVERPRICED,+4.7σ vs median
trade,T0002946,0.85,OVERPRICED,+4.7σ vs median
trade,T0002945,0.85,OVERPRICED,+4.7σ vs median
trade,T0002925,0.85,OVERPRICED,+4.7σ vs median
trade,T0000571,0.85,UNDERPRICED,-2.7σ vs median
trade,T0001844,0.85,OVERPRICED,+24.4σ vs median
trade,T0001840,0.85,OVERPRICED,+12.2σ vs median
trade,T0001834,0.85,OVERPRICED,+8.1σ vs median
trade,T0001914,0.85,OVERPRICED,+12.2σ vs median
trade,T0001925,0.85,OVERPRICED,+8.1σ vs median
trade,T0001983,0.85,OVERPRICED,+8.1σ vs median
trade,T0001991,0.85,OVERPRICED,+6.1σ vs median
trade,T0001976,0.85,OVERPRICED,+6.1σ vs median
trade,T0001999,0.85,OVERPRICED,+6.1σ vs median
trade,T0001953,0.85,OVERPRICED,+25.1σ vs median
trade,T0002040,0.85,OVERPRICED,+25.1σ vs median
trade,T0002087,0.85,OVERPRICED,+25.1σ vs median
trade,T0002238,0.85,OVERPRICED,+25.1σ vs median
trade,T0002325,0.85,OVERPRICED,+25.1σ vs median
trade,T0002318,0.85,OVERPRICED,+25.1σ vs median
