item_id,rarity,base_value,drop_rate
I0000,rare,368.14,0.009873768986543336
I0001,rare,435.23,0.012026713038773942
I0002,common,51.76,0.031009147598035455
I0003,rare,456.25,0.0065560970315485115
I0004,common,53.92,0.025630137739942507
I0005,legendary,2962.94,0.0028062864294643797
I0006,common,58.96,0.052710837550836505
I0007,common,73.74,0.033134320188500134
I0008,rare,530.22,0.016666932689007274
I0009,common,36.93,0.08606622226389991
I0010,common,44.35,0.1084491450577772
I0011,common,41.94,0.10162879314112915
I0012,common,63.94,0.08200804229247807
I0013,rare,394.53,0.014881272443851097
I0014,common,46.53,0.041024603393675606
I0015,common,50.68,0.09623426548173064
I0016,rare,404.18,0.010624682940061372
I0017,common,43.82,0.11989806547557336
I0018,common,41.58,0.08083078895975658
I0019,common,37.02,0.030907679269053343
I0020,common,55.53,0.13915192488174283
I0021,common,43.87,0.13330228966750476
I0022,common,55.21,0.07422254257123569
I0023,common,43.48,0.12930340031649992
I0024,rare,300.57,0.016632961117617195
I0025,common,46.36,0.026257254768897613
I0026,common,59.16,0.11439268960492478
I0027,common,51.55,0.12344971788029302
I0028,rare,448.65,0.01568565286652672
I0029,common,38.61,0.14541608548173207
I0030,common,56.15,0.11524211829538157
I0031,rare,442.92,0.005884683480313838
I0032,rare,532.35,0.010142904035541725
I0033,rare,484.28,0.013032675453820253
I0034,common,39.43,0.10307358721948698
I0035,rare,623.05,0.006689833938277177
I0036,common,52.61,0.1344459281125319
I0037,rare,647.75,0.010462234110206267
I0038,common,54.73,0.14549340599530594
I0039,common,58.03,0.09522525974051492
