listing_id,ts,seller_id,region,item_id,qty,list_price,expires_at
L0000001,2025-01-01 00:00:00,P00018,NA,I0001,1,386.64,2025-01-02 05:00:00
L0000029,2025-01-01 00:00:00,P00375,ASIA,I0038,2,47.86,2025-01-02 09:00:00
L0000030,2025-01-01 00:00:00,P00377,EU,I0014,2,39.49,2025-01-01 17:00:00
L0000031,2025-01-01 00:00:00,P00383,NA,I0013,1,376.92,2025-01-02 06:00:00
L0000032,2025-01-01 00:00:00,P00385,EU,I0003,2,415.89,2025-01-02 01:00:00
L0000033,2025-01-01 00:00:00,P00389,NA,I0036,1,40.97,2025-01-02 10:00:00
L0000034,2025-01-01 00:00:00,P00404,EU,I0000,2,342.91,2025-01-02 04:00:00
L0000035,2025-01-01 00:00:00,P00435,NA,I0007,2,79.72,2025-01-01 18:00:00
L0000037,2025-01-01 00:00:00,P00463,EU,I0010,1,40.13,2025-01-01 22:00:00
L0000038,2025-01-01 00:00:00,P00490,NA,I0007,2,72.97,2025-01-02 10:00:00
L0000039,2025-01-01 00:00:00,P00494,NA,I0023,1,50.72,2025-01-01 21:00:00
L0000036,2025-01-01 00:00:00,P00439,NA,I0033,3,502.58,2025-01-01 22:00:00
L0000041,2025-01-01 00:00:00,P00515,EU,I0039,1,45.21,2025-01-02 07:00:00
L0000042,2025-01-01 00:00:00,P00539,NA,I0004,1,61.24,2025-01-02 10:00:00
L0000043,2025-01-01 00:00:00,P00541,ASIA,I0038,1,70.87,2025-01-02 09:00:00
L0000045,2025-01-01 00:00:00,P00560,NA,I0029,1,41.7,2025-01-01 14:00:00
L0000046,2025-01-01 00:00:00,P00569,ASIA,I0038,2,53.24,2025-01-02 04:00:00
L0000047,2025-01-01 00:00:00,P00573,NA,I0022,1,64.44,2025-01-02 02:00:00
L0000048,2025-01-01 00:00:00,P00584,ASIA,I0022,1,46.14,2025-01-02 03:00:00
L0000049,2025-01-01 00:00:00,P00586,EU,I0022,1,46.84,2025-01-01 21:00:00
L0000027,2025-01-01 00:00:00,P00341,NA,I0031,2,438.33,2025-01-02 01:00:00
L0000040,2025-01-01 00:00:00,P00503,EU,I0004,1,49.38,2025-01-01 16:00:00
L0000028,2025-01-01 00:00:00,P00348,ASIA,I0002,1,43.82,2025-01-01 12:00:00
L0000026,2025-01-01 00:00:00,P00298,EU,I0016,1,469.56,2025-01-01 18:00:00
L0000044,2025-01-01 00:00:00,P00558,NA,I0027,1,47.01,2025-01-02 01:00:00
L0000024,2025-01-01 00:00:00,P00281,ASIA,I0001,2,512.43,2025-01-02 04:00:00
L0000003,2025-01-01 00:00:00,P00073,EU,I0011,1,36.51,2025-01-01 18:00:00
L0000004,2025-01-01 00:00:00,P00077,NA,I0034,1,36.39,2025-01-02 10:00:00
L0000005,2025-01-01 00:00:00,P00081,NA,I0038,1,65.24,2025-01-01 12:00:00
L0000006,2025-01-01 00:00:00,P00084,EU,I0027,1,36.48,2025-01-02 08:00:00
L0000007,2025-01-01 00:00:00,P00086,NA,I0003,2,519.4,2025-01-02 07:00:00
L0000008,2025-01-01 00:00:00,P00104,EU,I0038,1,51.13,2025-01-01 17:00:00
L0000009,2025-01-01 00:00:00,P00109,EU,I0018,1,34.87,2025-01-01 22:00:00
L0000014,2025-01-01 00:00:00,P00192,ASIA,I0020,1,63.92,2025-01-01 12:00:00
L0000010,2025-01-01 00:00:00,P00140,EU,I0026,1,58.16,2025-01-02 10:00:00
L0000012,2025-01-01 00:00:00,P00164,EU,I0015,1,43.44,2025-01-02 02:00:00
L0000002,2025-01-01 00:00:00,P00067,EU,I0034,1,33.53,2025-01-02 00:00:00
L0000011,2025-01-01 00:00:00,P00156,NA,I0012,1,53.79,2025-01-02 05:00:00
L0000022,2025-01-01 00:00:00,P00270,NA,I0027,1,62.1,2025-01-01 19:00:00
L0000021,2025-01-01 00:00:00,P00255,NA,I0036,2,43.61,2025-01-02 08:00:00
L0000020,2025-01-01 00:00:00,P00251,EU,I0027,2,49.55,2025-01-02 03:00:00
L0000019,2025-01-01 00:00:00,P00245,NA,I0038,1,58.49,2025-01-02 07:00:00
L0000023,2025-01-01 00:00:00,P00274,EU,I0011,3,36.13,2025-01-01 20:00:00
L0000017,2025-01-01 00:00:00,P00216,NA,I0028,2,458.73,2025-01-02 11:00:00
L0000016,2025-01-01 00:00:00,P00213,ASIA,I0009,1,45.2,2025-01-02 05:00:00
L0000015,2025-01-01 00:00:00,P00207,NA,I0025,1,53.28,2025-01-02 00:00:00
